Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"NT Wang, TA Carte, RS Bisel","Negativity decontaminating: Communication media affordances for emotion regulation strategies",2020,"Information and Organization","Elsevier","https://www.sciencedirect.com/science/article/pii/S1471772720300233","https://scholar.google.com/scholar?cites=13044698563235841730&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-10-10 13:57:21","","","","",,,,,8,2.00,3,3,4,"A challenging part of many occupations is dealing with negative emotions from customers, coworkers and other communication partners on a daily basis. This paper describes a case-…","","https://scholar.google.com/scholar?q=related:woa4vzoUCLUJ:scholar.google.com/&scioq=source:%22information+and+organization%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
259,"PM Leonardi, JW Treem","Knowledge management technology as a stage for strategic self-presentation: Implications for knowledge sharing in organizations",2012,"Information and organization","Elsevier","https://www.sciencedirect.com/science/article/pii/S1471772711000510","https://scholar.google.com/scholar?cites=14845267312029854122&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-10-10 13:57:21","","","","",,,,,259,21.58,130,2,12,"… Studies focusing on computer-mediated communication have shown that informants who use information technologies report a … Deception in computer-mediated communication …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d110e70c902e5695a8506fd4eeec490bece8e4b1","https://scholar.google.com/scholar?q=related:qulBeff7BM4J:scholar.google.com/&scioq=source:%22information+and+organization%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
