Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"SA Wang, MS Pang, PA Pavlou",Seeing is believing? How including a video in fake news influences users' reporting of the fake news to social media platforms,2021,MIS Quarterly (Forthcoming),papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3909942,"https://scholar.google.com/scholar?cites=7137333148636087212&as_sdt=2005&sciodt=0,5&hl=en",26,10/8/2024 11:34,,,,,,,,,24,8,8,3,3,"… influence and deception of a fake news post, our analysis on the number of users reporting … become ineffective as a strong sentiment may further enhance the deception of videos. In this …",,"https://scholar.google.com/scholar?q=related:rAMT-K7mDGMJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
62,"SY Lee, H Rui, AB Whinston",Is best answer really the best answer? The politeness bias,2019,Mis Quarterly,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3954676,"https://scholar.google.com/scholar?cites=3674333863354710717&as_sdt=2005&sciodt=0,5&hl=en",18,10/8/2024 11:34,,,,,,,,,62,12.4,21,3,5,… ENPs are defined as self-organizing networks where a potentially geographically distributed group of users exchange knowledge through a computer-mediated communication system; …,https://misq.umn.edu/skin/frontend/default/misq/pdf/appendices/2019/V43I2Appendices/10_14160_RA_LeeRuiWhinstonAppendices.pdf,"https://scholar.google.com/scholar?q=related:vTpyZy7b_TIJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
31,"L Rhue, A Sundararajan",Playing to the crowd? Digital visibility and the social dynamics of purchase disclosure,2019,"MIS Quarterly (Forthcoming), NYU Stern …",papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3384357,"https://scholar.google.com/scholar?cites=1711681212307578060&as_sdt=2005&sciodt=0,5&hl=en",21,10/8/2024 11:34,,,,,,,,,31,6.2,16,2,5,"As people share more of their lives on social media, their consumption and purchase behaviors become increasingly visible to their peers, spawning a new form of digitally-enabled …",,"https://scholar.google.com/scholar?q=related:zJxNZP4cwRcJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
